geoid,census_name,display_name,population,acs_vintage,data_as_of
2301901500,"Argyle UT, Penobscot County, Maine",Argyle UT,286,2024,
2301906575,"Bradford town, Penobscot County, Maine",Bradford town,1254,2024,
2301906680,"Bradley town, Penobscot County, Maine",Bradley town,1645,2024,
2301909200,"Burlington town, Penobscot County, Maine",Burlington town,328,2024,
2301910670,"Carmel town, Penobscot County, Maine",Carmel town,2941,2024,
2301910810,"Carroll plantation, Penobscot County, Maine",Carroll plantation,134,2024,
2301912105,"Charleston town, Penobscot County, Maine",Charleston town,1117,2024,
2301912525,"Chester town, Penobscot County, Maine",Chester town,598,2024,
2301913365,"Clifton town, Penobscot County, Maine",Clifton town,1111,2024,
2301914310,"Corinna town, Penobscot County, Maine",Corinna town,2192,2024,
2301914380,"Corinth town, Penobscot County, Maine",Corinth town,2990,2024,
2301917530,"Dexter town, Penobscot County, Maine",Dexter town,3822,2024,
2301917950,"Dixmont town, Penobscot County, Maine",Dixmont town,1207,2024,
2301918582,"Drew UT, Penobscot County, Maine",Drew UT,33,2024,
2301919868,"East Central Penobscot UT, Penobscot County, Maine",East Central Penobscot UT,307,2024,
2301921030,"East Millinocket town, Penobscot County, Maine",East Millinocket town,1495,2024,
2301922535,"Eddington town, Penobscot County, Maine",Eddington town,2223,2024,
2301922710,"Edinburg town, Penobscot County, Maine",Edinburg town,172,2024,
2301923620,"Enfield town, Penobscot County, Maine",Enfield town,1462,2024,
2301923865,"Etna town, Penobscot County, Maine",Etna town,1252,2024,
2301924110,"Exeter town, Penobscot County, Maine",Exeter town,1093,2024,
2301927190,"Garland town, Penobscot County, Maine",Garland town,823,2024,
2301927645,"Glenburn town, Penobscot County, Maine",Glenburn town,4737,2024,
2301929185,"Greenbush town, Penobscot County, Maine",Greenbush town,1378,2024,
2301930795,"Hampden town, Penobscot County, Maine",Hampden town,7896,2024,
2301932510,"Hermon town, Penobscot County, Maine",Hermon town,6727,2024,
2301933490,"Holden town, Penobscot County, Maine",Holden town,3352,2024,
2301934190,"Howland town, Penobscot County, Maine",Howland town,1367,2024,
2301934365,"Hudson town, Penobscot County, Maine",Hudson town,1305,2024,
2301936325,"Kenduskeag town, Penobscot County, Maine",Kenduskeag town,1333,2024,
2301937075,"Kingman UT, Penobscot County, Maine",Kingman UT,138,2024,
2301937760,"Lagrange town, Penobscot County, Maine",Lagrange town,709,2024,
2301938005,"Lakeville town, Penobscot County, Maine",Lakeville town,99,2024,
2301938530,"Lee town, Penobscot County, Maine",Lee town,925,2024,
